,p158,p159,p160,p23,p24
r260,-575.3757935,-1182.617676,-357.144989,-272.4910583,-132.6361542
r261,-5238.927734,-7422.128906,-3057.471191,-5180.327637,-2864.979492
r262,7968.57373,9611.14209,3690.045288,7968.07959,3989.815918
r263,865.6996508,1137.208881,505.2949827,542.978686,259.9408079
r264,1604.47631,2738.053279,1009.431105,1109.199665,576.6355675
r265,-0.408840761,-0.794662596,-0.722039753,-0.666490905,-0.969401552
r266,1.03838E+11,93113238761,8823004037,1.33636E+11,8505543637
r267,0.006098581,0.011594023,0.016184437,0.007686109,0.017260411
r268,,4827973.049,674991.8849,1091647.879,282597.3045
r269,-677.5703003,-1198.641357,-432.3658386,-415.2184387,-224.9569168
r270,229.0903366,218.7234253,73.61352081,202.3926849,84.09286652
r271,142686799.7,57734699.6,10876468.85,158537502.4,9391207.737
r272,5.71556921,5.787869778,4.696053299,5.317551301,4.268973152
r273,520.5398502,587.6359177,313.2072563,317.0842819,151.1690145
r274,2.590875377,3.156621809,2.606695571,4.074912326,5.165869363
r275,657.2520142,532.1323242,155.732605,674.8320923,270.5726929
r276,286.1865573,420.8813877,169.4558792,195.9271481,98.01309197
r277,-184.61953,-406.0961548,-146.0627402,-92.34415747,-55.59488425
r278,-146.5783157,-298.8017883,-89.60329056,-68.08306122,-33.00021458
r279,-1276.404907,-1808.065186,-753.3880005,-1251.487183,-703.28302
r280,1933.656921,2340.19751,909.1206055,1926.319275,973.8557129
r281,211.2874109,278.5154244,124.8222433,131.8521357,63.08472805
r282,392.1190218,674.2432305,250.0168828,269.8589284,140.7575026
r283,,-0.783700618,-0.72034648,-0.658734516,-0.99775548
r284,6201905596,5646259483,541254828.6,7910029606,506806678.7
r285,0.021540112,0.021390043,0.044721892,0.030073667,0.064021079
r286,119672.9564,289689.8469,41174.11758,64296.39783,16721.8834
r287,-11934.78877,-21606.28906,-6260.394482,-8182.178223,-3952.46189
r288,7954.581934,10509.82773,2319.534814,5869.962402,2214.368311
r289,62321093943,20379724156,2519855428,70060651471,2897361842
r290,9.104109393,6.925692561,7.10375068,9.38367746,7.765405296
r291,9405.538422,17024.16028,5340.01384,7131.710938,2847.709763
r292,3.367733843,2.201589493,2.157364218,3.272022984,3.227235604
r293,19125.15039,18487.09375,4738.533691,14551.77539,5640.541504
r294,,9554.125549,2791.473193,4365.77875,1840.964432
r295,-2668.792581,-5255.449478,-1848.734174,-1133.370168,-750.4538284
r296,-3024.412598,-5589.749023,-1646.942078,-859.2275391,-612.2235107
r297,-25808.57813,-29291.34961,-8877.045898,-21526.00586,-8858.563477
r298,44933.72852,47778.44336,13615.57959,36077.78125,14499.10498
r299,3848.575326,7022.538531,2079.863066,2976.404484,1231.985813
r300,8194.897878,12667.68601,3805.51281,5672.935832,2472.362782
